relative_time,data_id,co2_concentration,brix,out_temperature,in_temperature,ph,pressure_upper,pressure_lower,batch_id
12900.0,899.0,34975.0,0.0,29.0,29.0,0.0,1006.8687,0.0,5.0
12960.0,900.0,34975.0,0.0,29.062,29.062,0.0,1006.7863,0.0,5.0
13020.0,901.0,34975.0,0.0,29.062,29.062,0.0,1006.8903,0.0,5.0
13080.0,902.0,34975.0,0.0,29.062,29.062,0.0,1006.7552,0.0,5.0
13140.0,903.0,34975.0,0.0,29.062,29.062,0.0,1006.7999,0.0,5.0
13200.0,904.0,34975.0,0.0,29.125,29.125,0.0,1006.9797,0.0,5.0
13260.0,905.0,34975.0,0.0,29.062,29.062,0.0,1006.7291,0.0,5.0
13320.0,906.0,33314.0,0.0,29.125,29.125,0.0,1006.8782,0.0,5.0
13380.0,907.0,17037.0,0.0,29.062,29.062,0.0,1006.7407,0.0,5.0
13440.0,908.0,19242.0,0.0,29.062,29.062,0.0,1006.8868,0.0,5.0
13500.0,909.0,21312.0,0.0,29.062,29.062,0.0,1006.867,0.0,5.0
13560.0,910.0,21312.0,0.0,29.125,29.125,0.0,1006.917,0.0,5.0
13620.0,911.0,21312.0,0.0,29.125,29.125,0.0,1006.9682,0.0,5.0
13680.0,912.0,21312.0,0.0,29.125,29.125,0.0,1006.9587,0.0,5.0
13740.0,913.0,21312.0,0.0,29.125,29.125,0.0,1006.846,0.0,5.0
13800.0,914.0,21690.0,0.0,29.125,29.125,0.0,1006.866,0.0,5.0
13860.0,915.0,19567.0,0.0,29.062,29.062,0.0,1006.866,0.0,5.0
13920.0,916.0,20217.0,0.0,29.125,29.125,0.0,1007.0444,0.0,5.0
13980.0,917.0,21028.0,0.0,29.062,29.062,0.0,1006.9399,0.0,5.0
14040.0,918.0,22643.0,0.0,29.125,29.125,0.0,1006.9902,0.0,5.0
14100.0,919.0,23838.0,0.0,29.125,29.125,0.0,1006.9545,0.0,5.0
14160.0,920.0,24087.0,0.0,29.125,29.125,0.0,1007.0516,0.0,5.0
14220.0,921.0,24203.0,0.0,29.187,29.187,0.0,1006.9414,0.0,5.0
14280.0,922.0,24684.0,0.0,29.187,29.187,0.0,1006.9924,0.0,5.0
14340.0,923.0,25262.0,0.0,29.125,29.125,0.0,1006.9673,0.0,5.0
14400.0,924.0,25451.0,0.0,29.187,29.187,0.0,1007.0634,0.0,5.0
14460.0,925.0,25603.0,0.0,29.125,29.125,0.0,1007.0292,0.0,5.0
14520.0,926.0,25937.0,0.0,29.125,29.125,0.0,1006.8023,0.0,5.0
14580.0,927.0,26328.0,0.0,29.187,29.187,0.0,1007.02,0.0,5.0
14640.0,928.0,26574.0,0.0,29.187,29.187,0.0,1006.9795,0.0,5.0
14700.0,929.0,26899.0,0.0,29.25,29.25,0.0,1006.8322,0.0,5.0
14760.0,930.0,27178.0,0.0,29.25,29.25,0.0,1007.0278,0.0,5.0
14820.0,931.0,27345.0,0.0,29.187,29.187,0.0,1007.0556,0.0,5.0
14880.0,932.0,27351.0,0.0,29.25,29.25,0.0,1006.9964,0.0,5.0
14940.0,933.0,27402.0,0.0,29.25,29.25,0.0,1007.083,0.0,5.0
15000.0,934.0,27573.0,0.0,29.25,29.25,0.0,1006.9594,0.0,5.0
15060.0,935.0,27791.0,0.0,29.25,29.25,0.0,1007.0491,0.0,5.0
15120.0,936.0,28038.0,0.0,29.25,29.25,0.0,1007.1227,0.0,5.0
15180.0,937.0,28399.0,0.0,29.25,29.25,0.0,1007.0295,0.0,5.0
15240.0,938.0,28919.0,0.0,29.312,29.312,0.0,1006.9975,0.0,5.0
15300.0,939.0,29283.0,0.0,29.312,29.312,0.0,1007.2243,0.0,5.0
15360.0,940.0,29669.0,0.0,29.312,29.312,0.0,1007.1764,0.0,5.0
